date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:21	18183/18183	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20Nov%202022%2008:00:37%20GMT	https://vhtear.com/static/assets/vendor/vhtear/api-vhtear.js	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/vhtear/api-vhtear.js	(from https://vhtear.com/)
16:49:24	709/709	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fbd-2c5%22	https://cdnjs.cloudflare.com/ajax/libs/react/15.1.0/react-dom.min.js	/storage/emulated/0/HTTrack/Websites/Restapi/cdnjs.cloudflare.com/ajax/libs/react/15.1.0/react-dom.min.js	(from https://vhtear.com/)
16:49:25	147112/147112	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fbd-23ea8%22	https://cdnjs.cloudflare.com/ajax/libs/react/15.1.0/react.min.js	/storage/emulated/0/HTTrack/Websites/Restapi/cdnjs.cloudflare.com/ajax/libs/react/15.1.0/react.min.js	(from https://vhtear.com/)
16:49:26	13993/13993	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d6a-36a9%22	https://cdnjs.cloudflare.com/ajax/libs/axios/0.19.2/axios.min.js	/storage/emulated/0/HTTrack/Websites/Restapi/cdnjs.cloudflare.com/ajax/libs/axios/0.19.2/axios.min.js	(from https://vhtear.com/)
16:49:27	170192/170192	---M--	200	added ('OK')	text/javascript	etag:5378131275654993803	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	/storage/emulated/0/HTTrack/Websites/Restapi/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://vhtear.com/)
16:49:27	556716/556716	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fbd-87eac%22	https://cdnjs.cloudflare.com/ajax/libs/react/0.14.0-beta3/JSXTransformer.js	/storage/emulated/0/HTTrack/Websites/Restapi/cdnjs.cloudflare.com/ajax/libs/react/0.14.0-beta3/JSXTransformer.js	(from https://vhtear.com/)
16:49:29	93868/93868	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	/storage/emulated/0/HTTrack/Websites/Restapi/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from https://vhtear.com/)
16:49:29	11023/11023	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2029%20Dec%202022%2009:49:29%20GMT	https://kit.fontawesome.com/a2d54cb074.js	/storage/emulated/0/HTTrack/Websites/Restapi/kit.fontawesome.com/a2d54cb074.js	(from https://vhtear.com/)
16:49:30	172812/172812	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/chart.js/dist/Chart.min.js	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/chart.js/dist/Chart.min.js	(from https://vhtear.com/)
16:49:30	3552/3552	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/chart.js/dist/Chart.extension.js	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/chart.js/dist/Chart.extension.js	(from https://vhtear.com/)
16:49:32	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	/storage/emulated/0/HTTrack/Websites/Restapi/code.jquery.com/jquery-3.3.1.min.js	(from https://vhtear.com/)
16:49:32	273780/273780	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263a3334f-42d74%22	https://app.termly.io/embed.min.js	/storage/emulated/0/HTTrack/Websites/Restapi/app.termly.io/embed.min.js	(from https://vhtear.com/)
16:49:33	21710/21710	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/js/argon.js?v=1.2.0	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/js/argon5438.js	(from https://vhtear.com/)
16:49:35	26686/26686	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/js/build/orbit-controls.js	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/js/build/orbit-controls.js	(from https://vhtear.com/)
16:49:36	18516/18516	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.eot	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.eot	(from https://vhtear.com/static/assets/vendor/nucleo/css/nucleo.css)
16:49:37	8580/8580	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.woff2	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.woff2	(from https://vhtear.com/static/assets/vendor/nucleo/css/nucleo.css)
16:49:38	10220/10220	---M--	200	added ('OK')	application/font-woff	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.woff	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.woff	(from https://vhtear.com/static/assets/vendor/nucleo/css/nucleo.css)
